"Game Title","Region","Artist","Song Title"
"SingStar (Europe, Australia)","Europe/Australia","a-ha","Take On Me"
"SingStar (Europe, Australia)","Europe/Australia","Atomic Kitten","Eternal Flame"
"SingStar (Europe, Australia)","Europe/Australia","Avril Lavigne","Complicated"
"SingStar (Europe, Australia)","Europe/Australia","Blondie","Heart Of Glass"
"SingStar (Europe, Australia)","Europe/Australia","Blue","One Love"
"SingStar (Europe, Australia)","Europe/Australia","Busted","Crashed the Wedding"
"SingStar (Europe, Australia)","Europe/Australia","Carl Douglas","Kung Fu Fighting"
"SingStar (Europe, Australia)","Europe/Australia","The Darkness","I Believe In A Thing Called Love"
"SingStar (Europe, Australia)","Europe/Australia","Deee-Lite","Groove Is In The Heart"
"SingStar (Europe, Australia)","Europe/Australia","Dido","Thank You"
"SingStar (Europe, Australia)","Europe/Australia","Elvis Presley","Suspicious Minds"
"SingStar (Europe, Australia)","Europe/Australia","Good Charlotte","Girls & Boys"
"SingStar (Europe, Australia)","Europe/Australia","Jamelia","Superstar"
"SingStar (Europe, Australia)","Europe/Australia","Liberty X","Just A Little"
"SingStar (Europe, Australia)","Europe/Australia","Madonna","Like A Virgin"
"SingStar (Europe, Australia)","Europe/Australia","Mis-Teeq","Scandalous"
"SingStar (Europe, Australia)","Europe/Australia","P!nk","Get The Party Started"
"SingStar (Europe, Australia)","Europe/Australia","Ricky Martin","Livin' La Vida Loca"
"SingStar (Europe, Australia)","Europe/Australia","Roy Orbison","Oh, Pretty Woman"
"SingStar (Europe, Australia)","Europe/Australia","Sugababes","Round Round"
"SingStar (Europe, Australia)","Europe/Australia","Village People","Y.M.C.A."
"SingStar '90s (Europe, Australia)","Europe/Australia","All Saints","Never Ever"
"SingStar '90s (Europe, Australia)","Europe/Australia","Aqua","Barbie Girl"
"SingStar '90s (Europe, Australia)","Europe/Australia","B-52's","Love Shack"
"SingStar '90s (Europe, Australia)","Europe/Australia","Barenaked Ladies","One Week"
"SingStar '90s (Europe, Australia)","Europe/Australia","Billy Ray Cyrus","Achy Breaky Heart"
"SingStar '90s (Europe, Australia)","Europe/Australia","Crash Test Dummies","Mmm Mmm Mmm Mmm"
"SingStar '90s (Europe, Australia)","Europe/Australia","Divinyls","I Touch Myself"
"SingStar '90s (Europe, Australia)","Europe/Australia","EMF","Unbelievable"
"SingStar '90s (Europe, Australia)","Europe/Australia","Gin Blossoms","Hey Jealousy"
"SingStar '90s (Europe, Australia)","Europe/Australia","Lisa Loeb","Stay (I Missed You)"
"SingStar '90s (Europe, Australia)","Europe/Australia","MC Hammer","U Can't Touch This"
"SingStar '90s (Europe, Australia)","Europe/Australia","Natalie Imbruglia","Torn"
"SingStar '90s (Europe, Australia)","Europe/Australia","New Kids on the Block","Step By Step"
"SingStar '90s (Europe, Australia)","Europe/Australia","Nick Cave & The Bad Seeds and Kylie Minogue","Where The Wild Roses Grow"
"SingStar '90s (Europe, Australia)","Europe/Australia","Poison","Unskinny Bop"
"SingStar '90s (Europe, Australia)","Europe/Australia","Radiohead","Creep"
"SingStar '90s (Europe, Australia)","Europe/Australia","R.E.M.","Everybody Hurts"
"SingStar '90s (Europe, Australia)","Europe/Australia","Roachford","Only To Be With You"
"SingStar '90s (Europe, Australia)","Europe/Australia","Savage Garden","I Want You"
"SingStar '90s (Europe, Australia)","Europe/Australia","Seal","Kiss From A Rose"
"SingStar '90s (Europe, Australia)","Europe/Australia","Sir Mix A Lot","Baby Got Back"
"SingStar '90s (Europe, Australia)","Europe/Australia","Spice Girls","Wannabe"
"SingStar '90s (Europe, Australia)","Europe/Australia","Spin Doctors","Two Princes"
"SingStar '90s (Europe, Australia)","Europe/Australia","Technotronic feat. Felly","Pump Up The Jam"
"SingStar '90s (Europe, Australia)","Europe/Australia","The Cardigans","Lovefool"
"SingStar '90s (Europe, Australia)","Europe/Australia","The Cranberries","Zombie"
"SingStar '90s (Europe, Australia)","Europe/Australia","The Cure","Friday I'm In Love"
"SingStar '90s (Europe, Australia)","Europe/Australia","Wet Wet Wet","Love Is All Around"
"SingStar ABBA (Europe, Australia)","Europe/Australia","ABBA","Chiquitita"
"SingStar ABBA (Europe, Australia)","Europe/Australia","ABBA","Dancing Queen"
"SingStar ABBA (Europe, Australia)","Europe/Australia","ABBA","Does Your Mother Know"
"SingStar ABBA (Europe, Australia)","Europe/Australia","ABBA","Fernando"
"SingStar ABBA (Europe, Australia)","Europe/Australia","ABBA","Gimme! Gimme! Gimme! (A Man After Midnight)"
"SingStar ABBA (Europe, Australia)","Europe/Australia","ABBA","I Do, I Do, I Do, I Do, I Do"
"SingStar ABBA (Europe, Australia)","Europe/Australia","ABBA","Knowing Me, Knowing You"
"SingStar ABBA (Europe, Australia)","Europe/Australia","ABBA","Mamma Mia"
"SingStar ABBA (Europe, Australia)","Europe/Australia","ABBA","Money, Money, Money"
"SingStar ABBA (Europe, Australia)","Europe/Australia","ABBA","One of Us"
"SingStar ABBA (Europe, Australia)","Europe/Australia","ABBA","Ring Ring"
"SingStar ABBA (Europe, Australia)","Europe/Australia","ABBA","SOS"
"SingStar ABBA (Europe, Australia)","Europe/Australia","ABBA","Summer Night City"
"SingStar ABBA (Europe, Australia)","Europe/Australia","ABBA","Super Trouper"
"SingStar ABBA (Europe, Australia)","Europe/Australia","ABBA","Take a Chance on Me"
"SingStar ABBA (Europe, Australia)","Europe/Australia","ABBA","Thank You for the Music"
"SingStar ABBA (Europe, Australia)","Europe/Australia","ABBA","The Name of the Game"
"SingStar ABBA (Europe, Australia)","Europe/Australia","ABBA","The Winner Takes It All"
"SingStar ABBA (Europe, Australia)","Europe/Australia","ABBA","Voulez-Vous"
"SingStar ABBA (Europe, Australia)","Europe/Australia","ABBA","Waterloo"
"SingStar Amped (USA)","USA","Alice In Chains","Would?"
"SingStar Amped (USA)","USA","Audioslave","Cochise"
"SingStar Amped (USA)","USA","Blind","Break Away"
"SingStar Amped (USA)","USA","Blink-182","I Miss You"
"SingStar Amped (USA)","USA","Blue Öyster Cult","(Don't Fear) The Reaper"
"SingStar Amped (USA)","USA","Bonfire","You Make Me Feel"
"SingStar Amped (USA)","USA","Boston","More Than a Feeling"
"SingStar Amped (USA)","USA","Caesars","Jerk It Out"
"SingStar Amped (USA)","USA","Cheap Trick","I Want You to Want Me"
"SingStar Amped (USA)","USA","David Bowie","Changes"
"SingStar Amped (USA)","USA","Divinyls","Boys in Town"
"SingStar Amped (USA)","USA","Faith No More","Evidence"
"SingStar Amped (USA)","USA","Faker","This Heart Attack"
"SingStar Amped (USA)","USA","Fall Out Boy","This Ain't a Scene, It's an Arms Race"
"SingStar Amped (USA)","USA","Foo Fighters","Best of You"
"SingStar Amped (USA)","USA","Franz Ferdinand","Take Me Out"
"SingStar Amped (USA)","USA","Free","All Right Now"
"SingStar Amped (USA)","USA","Good Charlotte","Dance Floor Anthem (I Don't Want To Be In Love)"
"SingStar Amped (USA)","USA","Gotthard","Lift U Up"
"SingStar Amped (USA)","USA","Grinspoon","Chemical Heart"
"SingStar Amped (USA)","USA","Iggy Pop","Real Wild Child (Wild One)"
"SingStar Amped (USA)","USA","Judas Priest","Breaking the Law"
"SingStar Amped (USA)","USA","Judas Priest","You've Got Another Thing Comin'"
"SingStar Amped (USA)","USA","Kasabian","L. S. F. (Lost Souls Forever)"
"SingStar Amped (USA)","USA","Mando Diao","Long Before Rock n' Roll"
"SingStar Amped (USA)","USA","Motörhead","Ace of Spades"
"SingStar Amped (USA)","USA","Nickelback","Savin' Me"
"SingStar Amped (USA)","USA","Nirvana","Come as You Are"
"SingStar Amped (USA)","USA","O.A.R.","Love and Memories"
"SingStar Amped (USA)","USA","Pearl Jam","Alive"
"SingStar Amped (USA)","USA","Poison","Every Rose Has Its Thorn"
"SingStar Amped (USA)","USA","Queens of the Stone Age","Go with the Flow"
"SingStar Amped (USA)","USA","Quiet Riot","Cum on Feel the Noize"
"SingStar Amped (USA)","USA","Radiohead","Creep"
"SingStar Amped (USA)","USA","Ramones","Blitzkrieg Bop"
"SingStar Amped (USA)","USA","Regurgitator","Black Bugs"
"SingStar Amped (USA)","USA","Robert Palmer","Addicted to Love"
"SingStar Amped (USA)","USA","Scorpions","Rock You Like a Hurricane"
"SingStar Amped (USA)","USA","Silverchair","The Greatest View"
"SingStar Amped (USA)","USA","Soul Asylum","Runaway Train"
"SingStar Amped (USA)","USA","Spiderbait","Blackbetty"
"SingStar Amped (USA)","USA","Steppenwolf","Born to Be Wild"
"SingStar Amped (USA)","USA","Stone Temple Pilots","Vasoline"
"SingStar Amped (USA)","USA","Sublime","Santeria"
"SingStar Amped (USA)","USA","Talking Heads","Burning Down the House"
"SingStar Amped (USA)","USA","The Choirboys","Run to Paradise"
"SingStar Amped (USA)","USA","The Cure","Primary"
"SingStar Amped (USA)","USA","The Hives","Walk Idiot Walk"
"SingStar Amped (USA)","USA","The Killers","When You Were Young"
"SingStar Amped (USA)","USA","The Mighty Mighty Bosstones","The Impression That I Get"
"SingStar Amped (USA)","USA","The Saints","I'm Stranded"
"SingStar Amped (USA)","USA","The Subways","Rock & Roll Queen"
"SingStar Amped (USA)","USA","Tonic","If You Could Only See"
"SingStar Amped (USA)","USA","T. Rex","20th Century Boy"
"SingStar Amped (USA)","USA","Warrant","Cherry Pie"
"SingStar Amped (USA)","USA","Wolfmother","Woman"
"SingStar Amped (USA)","USA","Yeah Yeah Yeahs","Gold Lion"
"SingStar Amped (USA)","USA","Yes","Owner of a Lonely Heart"
"SingStar Amped (USA)","USA","ZZ Top","Gimme All Your Lovin'"
"SingStar Boy Bands vs Girl Bands (Europe)","Europe","5ive","Keep on Movin'"
"SingStar Boy Bands vs Girl Bands (Europe)","Europe","All Saints","Pure Shores"
"SingStar Boy Bands vs Girl Bands (Europe)","Europe","B*Witched","C'est La Vie"
"SingStar Boy Bands vs Girl Bands (Europe)","Europe","Backstreet Boys","Everybody (Backstreet's Back)"
"SingStar Boy Bands vs Girl Bands (Europe)","Europe","Bananarama","Venus"
"SingStar Boy Bands vs Girl Bands (Europe)","Europe","Boyzone","Picture of You"
"SingStar Boy Bands vs Girl Bands (Europe)","Europe","Damage","Ghetto Romance"
"SingStar Boy Bands vs Girl Bands (Europe)","Europe","East 17","Deep"
"SingStar Boy Bands vs Girl Bands (Europe)","Europe","Girls Aloud","Love Machine"
"SingStar Boy Bands vs Girl Bands (Europe)","Europe","Jackson 5","I Want You Back"
"SingStar Boy Bands vs Girl Bands (Europe)","Europe","Mel & Kim","Respectable"
"SingStar Boy Bands vs Girl Bands (Europe)","Europe","New Kids on the Block","You Got It (The Right Stuff)"
"SingStar Boy Bands vs Girl Bands (Europe)","Europe","New Order","Blue Monday"
"SingStar Boy Bands vs Girl Bands (Europe)","Europe","Pussycat Dolls","Don't Cha"
"SingStar Boy Bands vs Girl Bands (Europe)","Europe","Salt-N-Pepa","Push It"
"SingStar Boy Bands vs Girl Bands (Europe)","Europe","Shakespears Sister","Stay"
"SingStar Boy Bands vs Girl Bands (Europe)","Europe","Spice Girls","Stop"
"SingStar Boy Bands vs Girl Bands (Europe)","Europe","Sugababes","About You Now"
"SingStar Boy Bands vs Girl Bands (Europe)","Europe","Take That","Patience"
"SingStar Boy Bands vs Girl Bands (Europe)","Europe","TLC","Waterfalls"
"SingStar Boy Bands vs Girl Bands (Europe)","Europe","Village People","Y.M.C.A."
"SingStar Boy Bands vs Girl Bands (Europe)","Europe","Wham!","Wake Me Up Before You Go-Go"
"SingStar Chart Hits (Australia)","Australia","Amy Winehouse","Rehab"
"SingStar Chart Hits (Australia)","Australia","Coldplay","Viva La Vida"
"SingStar Chart Hits (Australia)","Australia","Cyndi Lauper","Girls Just Want to Have Fun"
"SingStar Chart Hits (Australia)","Australia","David Guetta ft. Kelly Rowland","When Love Takes Over"
"SingStar Chart Hits (Australia)","Australia","Duffy","Mercy"
"SingStar Chart Hits (Australia)","Australia","Florence + The Machine","Dog Days Are Over"
"SingStar Chart Hits (Australia)","Australia","Katy Perry","Hot N Cold"
"SingStar Chart Hits (Australia)","Australia","Lady Gaga","Just Dance"
"SingStar Chart Hits (Australia)","Australia","Metro Station","Shake It"
"SingStar Chart Hits (Australia)","Australia","Mika","Grace Kelly"
"SingStar Chart Hits (Australia)","Australia","MGMT","Kids"
"SingStar Chart Hits (Australia)","Australia","OneRepublic","Apologize"
"SingStar Chart Hits (Australia)","Australia","P!nk","So What"
"SingStar Chart Hits (Australia)","Australia","Plain White T's","Hey There Delilah"
"SingStar Chart Hits (Australia)","Australia","Razorlight","America"
"SingStar Chart Hits (Australia)","Australia","Rihanna","Take A Bow"
"SingStar Chart Hits (Australia)","Australia","Robbie Williams","Bodies"
"SingStar Chart Hits (Australia)","Australia","The Fray","You Found Me"
"SingStar Chart Hits (Australia)","Australia","The Pussycat Dolls","When I Grow Up"
"SingStar Chart Hits (Australia)","Australia","The Script","Breakeven"
"SingStar Chart Hits (Australia)","Australia","U2","With or Without You"
"SingStar Chart Hits (Australia)","Australia","Vanessa Carlton","A Thousand Miles"
"SingStar Country (USA)","USA","Alan Jackson","Chattahoochee"
"SingStar Country (USA)","USA","Brad Paisley","Online"
"SingStar Country (USA)","USA","Brooks & Dunn","Hillbilly Deluxe"
"SingStar Country (USA)","USA","Carrie Underwood","Before He Cheats"
"SingStar Country (USA)","USA","Gretchen Wilson","Redneck Woman"
"SingStar Country (USA)","USA","Jewel","Stronger Woman"
"SingStar Country (USA)","USA","Johnny Cash","A Boy Named Sue"
"SingStar Country (USA)","USA","Kenny Chesney","Big Star"
"SingStar Country (USA)","USA","Lady Antebellum","Love Don't Live Here"
"SingStar Country (USA)","USA","LeAnn Rimes","Can't Fight the Moonlight"
"SingStar Country (USA)","USA","Montgomery Gentry","My Town"
"SingStar Country (USA)","USA","Pussycat Dolls","Don't Cha (PS2 Version - Cross-reference for regional variations)"
"SingStar Country (USA)","USA","Rascal Flatts","Life is a Highway"
"SingStar Country (USA)","USA","Sara Evans","Born to Fly"
"SingStar Country (USA)","USA","Taylor Swift","Tear Drops on My Guitar"
"SingStar Country (USA)","USA","The Band Perry","If I Die Young"
"SingStar Country (USA)","USA","Trace Adkins","Honky Tonk Badonkadonk"
"SingStar Country (USA)","USA","Trisha Yearwood","She's In Love With The Boy"
"SingStar Country (USA)","USA","Willie Nelson","Always On My Mind"
"SingStar Hottest Hits (Europe, Australia)","Europe/Australia","Avril Lavigne","Complicated"
"SingStar Hottest Hits (Europe, Australia)","Europe/Australia","Britney Spears","Oops!... I Did It Again"
"SingStar Hottest Hits (Europe, Australia)","Europe/Australia","Cascada","Everytime We Touch"
"SingStar Hottest Hits (Europe, Australia)","Europe/Australia","Chris Brown","With You"
"SingStar Hottest Hits (Europe, Australia)","Europe/Australia","Coldplay","Viva La Vida"
"SingStar Hottest Hits (Europe, Australia)","Europe/Australia","David Guetta feat. Kelly Rowland","When Love Takes Over"
"SingStar Hottest Hits (Europe, Australia)","Europe/Australia","Duffy","Mercy"
"SingStar Hottest Hits (Europe, Australia)","Europe/Australia","Empire of the Sun","Walking On A Dream"
"SingStar Hottest Hits (Europe, Australia)","Europe/Australia","Fergie","Big Girls Don't Cry"
"SingStar Hottest Hits (Europe, Australia)","Europe/Australia","Gossip","Heavy Cross"
"SingStar Hottest Hits (Europe, Australia)","Europe/Australia","Katy Perry","Hot N Cold"
"SingStar Hottest Hits (Europe, Australia)","Europe/Australia","Kings of Leon","Sex on Fire"
"SingStar Hottest Hits (Europe, Australia)","Europe/Australia","Lady Gaga","Poker Face"
"SingStar Hottest Hits (Europe, Australia)","Europe/Australia","Lily Allen","The Fear"
"SingStar Hottest Hits (Europe, Australia)","Europe/Australia","Mika","Grace Kelly"
"SingStar Hottest Hits (Europe, Australia)","Europe/Australia","Miley Cyrus","7 Things"
"SingStar Hottest Hits (Europe, Australia)","Europe/Australia","OneRepublic","Apologize"
"SingStar Hottest Hits (Europe, Australia)","Europe/Australia","P!nk","So What"
"SingStar Hottest Hits (Europe, Australia)","Europe/Australia","Rihanna","Don't Stop The Music"
"SingStar Hottest Hits (Europe, Australia)","Europe/Australia","Sugababes","About You Now"
"SingStar Hottest Hits (Europe, Australia)","Europe/Australia","Take That","Shine"
"SingStar Hottest Hits (Europe, Australia)","Europe/Australia","The Killers","When You Were Young"
"SingStar Hottest Hits (Europe, Australia)","Europe/Australia","The Script","Breakeven"
"SingStar Hottest Hits (Europe, Australia)","Europe/Australia","U2","Vertigo"
"SingStar Legends (Europe)","Europe","Aretha Franklin","Respect"
"SingStar Legends (Europe)","Europe","Barry White","You're the First, the Last, My Everything"
"SingStar Legends (Europe)","Europe","Black Sabbath","Paranoid"
"SingStar Legends (Europe)","Europe","Blur","Parklife"
"SingStar Legends (Europe)","Europe","Bonnie Tyler","Total Eclipse of the Heart"
"SingStar Legends (Europe)","Europe","David Bowie","Life on Mars?"
"SingStar Legends (Europe)","Europe","Depeche Mode","Enjoy the Silence"
"SingStar Legends (Europe)","Europe","Dusty Springfield","Son of a Preacher Man"
"SingStar Legends (Europe)","Europe","Ella Fitzgerald and Louis Armstrong","Let's Call the Whole Thing Off"
"SingStar Legends (Europe)","Europe","Elton John","I'm Still Standing"
"SingStar Legends (Europe)","Europe","Elton John","Rocket Man"
"SingStar Legends (Europe)","Europe","Elvis Presley","Blue Suede Shoes"
"SingStar Legends (Europe)","Europe","Jackie Wilson","Reet Petite"
"SingStar Legends (Europe)","Europe","Jackson 5","I Want You Back"
"SingStar Legends (Europe)","Europe","James Brown","I Got You (I Feel Good)"
"SingStar Legends (Europe)","Europe","John Lennon","Imagine"
"SingStar Legends (Europe)","Europe","Johnny Cash","Ring of Fire"
"SingStar Legends (Europe)","Europe","Joy Division","Love Will Tear Us Apart"
"SingStar Legends (Europe)","Europe","Lynyrd Skynyrd","Sweet Home Alabama"
"SingStar Legends (Europe)","Europe","Madonna","Papa Don't Preach"
"SingStar Legends (Europe)","Europe","Marvin Gaye","I Heard It Through the Grapevine"
"SingStar Legends (Europe)","Europe","Michael McDonald","I Keep Forgettin' (Every Time You Go Near)"
"SingStar Legends (Europe)","Europe","Nirvana","Smells Like Teen Spirit"
"SingStar Legends (Europe)","Europe","Patsy Cline","Crazy"
"SingStar Legends (Europe)","Europe","Pet Shop Boys","Always on My Mind"
"SingStar Legends (Europe)","Europe","Ray Charles","Hit the Road Jack"
"SingStar Legends (Europe)","Europe","Roxy Music","Love Is the Drug"
"SingStar Legends (Europe)","Europe","Sam Cooke","Wonderful World"
"SingStar Legends (Europe)","Europe","Take That","Back For Good"
"SingStar Legends (Europe)","Europe","The Beach Boys","Surfin' U.S.A."
"SingStar Legends (Europe)","Europe","The Police","Roxanne"
"SingStar Legends (Europe)","Europe","The Righteous Brothers","Unchained Melody"
"SingStar Legends (Europe)","Europe","The Rolling Stones","Sympathy for the Devil"
"SingStar Legends (Europe)","Europe","The Smiths","This Charming Man"
"SingStar Legends (Europe)","Europe","Tina Turner","What's Love Got to Do With It?"
"SingStar Legends (Europe)","Europe","Tom Jones","What's New Pussycat?"
"SingStar Legends (Europe)","Europe","U2","Vertigo"
"SingStar Norsk pa Norsk (Norway)","Norway","CC Cowboys","Tigergutt"
"SingStar Norsk pa Norsk (Norway)","Norway","CC Cowboys","Vill, vakker og våt"
"SingStar Norsk pa Norsk (Norway)","Norway","CC Cowboys","Harry"
"SingStar Norsk pa Norsk (Norway)","Norway","D.D.E.","Rompa mi"
"SingStar Norsk pa Norsk (Norway)","Norway","D.D.E.","Det går likar no"
"SingStar Norsk pa Norsk (Norway)","Norway","D.D.E.","E6"
"SingStar Norsk pa Norsk (Norway)","Norway","deLillos","Neste sommer"
"SingStar Norsk pa Norsk (Norway)","Norway","deLillos","Smak av honning"
"SingStar Norsk pa Norsk (Norway)","Norway","deLillos","Min beibi dro av sted"
"SingStar Norsk pa Norsk (Norway)","Norway","deLillos","Ut"
"SingStar Norsk pa Norsk (Norway)","Norway","Jahn Teigen","Min første kjærlighet"
"SingStar Norsk pa Norsk (Norway)","Norway","Jahn Teigen","Det vakreste som fins"
"SingStar Norsk pa Norsk (Norway)","Norway","Jahn Teigen","Optimist"
"SingStar Norsk pa Norsk (Norway)","Norway","Postgirobygget","Sløv uten dop"
"SingStar Norsk pa Norsk (Norway)","Norway","Postgirobygget","En solskinnsdag"
"SingStar Norsk pa Norsk (Norway)","Norway","Postgirobygget","23 tommer"
"SingStar Norsk pa Norsk (Norway)","Norway","Postgirobygget","Idyll"
"SingStar Norsk pa Norsk (Norway)","Norway","Trang Fødsel","Kursiv"
"SingStar Norsk pa Norsk (Norway)","Norway","Trang Fødsel","Livet det er helt ålreit"
"SingStar Norsk pa Norsk (Norway)","Norway","Trang Fødsel","Drømmedame"
"SingStar Norske Hits (Norway)","Norway","a-ha","The Sun Always Shines on TV"
"SingStar Norske Hits (Norway)","Norway","Annie","Heartbeat"
"SingStar Norske Hits (Norway)","Norway","Arne Schau Knudsen","Gal av lengsel"
"SingStar Norske Hits (Norway)","Norway","Avril Lavigne","Sk8er Boi"
"SingStar Norske Hits (Norway)","Norway","Beyonce","Crazy in Love"
"SingStar Norske Hits (Norway)","Norway","Bigbang","Girl in Oslo"
"SingStar Norske Hits (Norway)","Norway","The Clash","Should I Stay or Should I Go?"
"SingStar Norske Hits (Norway)","Norway","David","Wild At Heart"
"SingStar Norske Hits (Norway)","Norway","Dollie","Lenge Leve Livet"
"SingStar Norske Hits (Norway)","Norway","DumDum Boys","Splitter Pine"
"SingStar Norske Hits (Norway)","Norway","Hoobastank","The Reason"
"SingStar Norske Hits (Norway)","Norway","Jan Eggum","På an igjen"
"SingStar Norske Hits (Norway)","Norway","Joss Stone","Super Duper Love (Are You Digging On Me?)"
"SingStar Norske Hits (Norway)","Norway","Kaptein Sabeltann","Vi seiler vår egen sjø"
"SingStar Norske Hits (Norway)","Norway","The Kids","Forelska i lærer’n"
"SingStar Norske Hits (Norway)","Norway","Kine","In the air tonight"
"SingStar Norske Hits (Norway)","Norway","Kylie Minogue","In Your Eyes"
"SingStar Norske Hits (Norway)","Norway","Manfred Mann","Do Wah Diddy"
"SingStar Norske Hits (Norway)","Norway","Maria Mena","My Lullaby"
