"Game Title","Region","Artist","Song Title"
"SingStar Norske Hits (Norway)","Norway","The Monroes","Sunday people"
"SingStar Norske Hits (Norway)","Norway","Opus X","Loving you girl"
"SingStar Norske Hits (Norway)","Norway","Philip & Sandra","Sommerflørt"
"SingStar Norske Hits (Norway)","Norway","Robbie Williams","Let Me Entertain You"
"SingStar Norske Hits (Norway)","Norway","Rune Rudberg","Ut mot havet"
"SingStar Norske Hits (Norway)","Norway","The September When","Cries like a baby"
"SingStar Norske Hits (Norway)","Norway","Sister Sledge","We are family"
"SingStar Norske Hits (Norway)","Norway","Sputnik","Lukk opp din hjertedør"
"SingStar Norske Hits (Norway)","Norway","Steppenwolf","Born to be Wild"
"SingStar Norske Hits (Norway)","Norway","Tine","Vil Ha Deg"
"SingStar Norske Hits (Norway)","Norway","Tom Jones","It’s not unusual"
"SingStar Party (Europe, Australia)","Europe/Australia","Alicia Keys","Fallin'"
"SingStar Party (Europe, Australia)","Europe/Australia","Ashford & Simpson","Solid"
"SingStar Party (Europe, Australia)","Europe/Australia","Bananarama","Venus"
"SingStar Party (Europe, Australia)","Europe/Australia","Bill Withers","Ain't No Sunshine"
"SingStar Party (Europe, Australia)","Europe/Australia","Billy Crawford","Bright Light"
"SingStar Party (Europe, Australia)","Europe/Australia","Blu Cantrell","Hit 'Em Up Style (Oops!)"
"SingStar Party (Europe, Australia)","Europe/Australia","Bob Marley and the Wailers","No Woman No Cry"
"SingStar Party (Europe, Australia)","Europe/Australia","The Buggles","Video Killed the Radio Star"
"SingStar Party (Europe, Australia)","Europe/Australia","Busted","Year 3000"
"SingStar Party (Europe, Australia)","Europe/Australia","Culture Club","Do You Really Want to Hurt Me"
"SingStar Party (Europe, Australia)","Europe/Australia","Cyndi Lauper","Girls Just Want to Have Fun"
"SingStar Party (Europe, Australia)","Europe/Australia","David Lee Roth","Just a Gigolo/I Ain't Got Nobody"
"SingStar Party (Europe, Australia)","Europe/Australia","Destiny's Child","Survivor"
"SingStar Party (Europe, Australia)","Europe/Australia","Dido","White Flag"
"SingStar Party (Europe, Australia)","Europe/Australia","Duran Duran","Hungry Like the Wolf"
"SingStar Party (Europe, Australia)","Europe/Australia","Elton John & Kiki Dee","Don't Go Breaking My Heart"
"SingStar Party (Europe, Australia)","Europe/Australia","Elvis Presley","Way Down"
"SingStar Party (Europe, Australia)","Europe/Australia","Franz Ferdinand","Take Me Out"
"SingStar Party (Europe, Australia)","Europe/Australia","George Michael","Faith"
"SingStar Party (Europe, Australia)","Europe/Australia","Jamiroquai","Cosmic Girl"
"SingStar Party (Europe, Australia)","Europe/Australia","Javine","Real Things"
"SingStar Party (Europe, Australia)","Europe/Australia","Kylie Minogue","I Should Be So Lucky"
"SingStar Party (Europe, Australia)","Europe/Australia","Little Richard","Tutti Frutti"
"SingStar Party (Europe, Australia)","Europe/Australia","Maroon 5","This Love"
"SingStar Party (Europe, Australia)","Europe/Australia","Natasha Bedingfield","Single"
"SingStar Party (Europe, Australia)","Europe/Australia","New Model Army","51st State of America"
"SingStar Party (Europe, Australia)","Europe/Australia","P!nk","Just Like a Pill"
"SingStar Party (Europe, Australia)","Europe/Australia","Scissor Sisters","Take Your Mama"
"SingStar Party (Europe, Australia)","Europe/Australia","Sonny & Cher","I Got You Babe"
"SingStar Party (Europe, Australia)","Europe/Australia","Spandau Ballet","Gold"
"SingStar Party (Europe, Australia)","Europe/Australia","Spice Girls","Who Do You Think You Are"
"SingStar Party (Europe, Australia)","Europe/Australia","The Beautiful South","A Little Time"
"SingStar Party (Europe, Australia)","Europe/Australia","The Foundations","Build Me Up Buttercup"
"SingStar Party (Europe, Australia)","Europe/Australia","The Police","Every Breath You Take"
"SingStar Party (Europe, Australia)","Europe/Australia","Tiffany","I Think We're Alone Now"
"SingStar Pop (Europe)","Europe","The All-American Rejects","Move Along"
"SingStar Pop (Europe)","Europe","Anastacia","Left Outside Alone"
"SingStar Pop (Europe)","Europe","The Black Eyed Peas","Shut Up"
"SingStar Pop (Europe)","Europe","Girls Aloud","Love Machine"
"SingStar Pop (Europe)","Europe","Good Charlotte","I Wanna Live"
"SingStar Pop (Europe)","Europe","The Hives","Main Offender"
"SingStar Pop (Europe)","Europe","Hoobastank","The Reason"
"SingStar Pop (Europe)","Europe","Jamelia","Stop!"
"SingStar Pop (Europe)","Europe","Keane","Somewhere Only We Know"
"SingStar Pop (Europe)","Europe","Kings of Leon","The Bucket"
"SingStar Pop (Europe)","Europe","Manfred Mann","Do Wah Diddy"
"SingStar Pop (Europe)","Europe","McFly","Obviously"
"SingStar Pop (Europe)","Europe","Natasha Bedingfield","These Words"
"SingStar Pop (Europe)","Europe","The Police","Every Breath You Take"
"SingStar Pop (Europe)","Europe","Robbie Williams","Let Me Entertain You"
"SingStar Pop (Europe)","Europe","Ronan Keating & Yusuf Islam","Father And Son"
"SingStar Pop (Europe)","Europe","Sister Sledge","We Are Family"
"SingStar Pop (Europe)","Europe","Steppenwolf","Born to Be Wild"
"SingStar Pop (Europe)","Europe","The Clash","Should I Stay or Should I Go"
"SingStar Pop (Europe)","Europe","Tom Jones","It's Not Unusual"
"SingStar Pop Hits (Scandinavia)","Scandinavia","Ashlee Simpson","Pieces Of Me"
"SingStar Pop Hits (Scandinavia)","Scandinavia","Avril Lavigne","Sk8er Boi"
"SingStar Pop Hits (Scandinavia)","Scandinavia","Beyoncé","Crazy in Love"
"SingStar Pop Hits (Scandinavia)","Scandinavia","Blink-182","What's My Age Again?"
"SingStar Pop Hits (Scandinavia)","Scandinavia","Britney Spears","Toxic"
"SingStar Pop Hits (Scandinavia)","Scandinavia","Dandy Warhols","Bohemian Like You"
"SingStar Pop Hits (Scandinavia)","Scandinavia","Fountains of Wayne","Stacy's Mom"
"SingStar Pop Hits (Scandinavia)","Scandinavia","Junior Senior","Move Your Feet"
"SingStar Pop Hits (Scandinavia)","Scandinavia","Kylie Minogue","In Your Eyes"
"SingStar Pop Hits (Scandinavia)","Scandinavia","OutKast","Roses"
"SingStar Pop Hits (Scandinavia)","Scandinavia","Robbie Williams & Kylie Minogue","Kids"
"SingStar Pop Hits (Scandinavia)","Scandinavia","Sophie Ellis-Bextor","Murder on the Dancefloor"
"SingStar Pop Hits (Scandinavia)","Scandinavia","Sugababes","Round Round"
"SingStar Pop Hits (Scandinavia)","Scandinavia","The Cardigans","Lovefool"
"SingStar Pop Hits (Scandinavia)","Scandinavia","The Killers","Mr. Brightside"
"SingStar Pop Hits (Scandinavia)","Scandinavia","Tom Jones","It's Not Unusual"
"SingStar Pop Vol. 2 (USA)","USA","3 Doors Down","When I'm Gone"
"SingStar Pop Vol. 2 (USA)","USA","Ashlee Simpson","Boyfriend"
"SingStar Pop Vol. 2 (USA)","USA","Avril Lavigne","My Happy Ending"
"SingStar Pop Vol. 2 (USA)","USA","Boys Like Girls","The Great Escape"
"SingStar Pop Vol. 2 (USA)","USA","Cartel","Lose It"
"SingStar Pop Vol. 2 (USA)","USA","Colbie Caillat","Bubbly"
"SingStar Pop Vol. 2 (USA)","USA","Dixie Chicks","Not Ready To Make Nice"
"SingStar Pop Vol. 2 (USA)","USA","Duran Duran","Ordinary World"
"SingStar Pop Vol. 2 (USA)","USA","Evanescence","Bring Me To Life"
"SingStar Pop Vol. 2 (USA)","USA","Fall Out Boy","Thnks Fr Th Mmrs"
"SingStar Pop Vol. 2 (USA)","USA","Fergie","Big Girls Don't Cry"
"SingStar Pop Vol. 2 (USA)","USA","Gwen Stefani ft. Akon","The Sweet Escape"
"SingStar Pop Vol. 2 (USA)","USA","Jennifer Lopez","Jenny From the Block"
"SingStar Pop Vol. 2 (USA)","USA","Lifehouse","First Time"
"SingStar Pop Vol. 2 (USA)","USA","Lily Allen","Littlest Things"
"SingStar Pop Vol. 2 (USA)","USA","Lloyd","Get it Shawty"
"SingStar Pop Vol. 2 (USA)","USA","Maroon 5","Makes Me Wonder"
"SingStar Pop Vol. 2 (USA)","USA","Matchbox Twenty","How Far We've Come"
"SingStar Pop Vol. 2 (USA)","USA","Michelle Branch","Breathe"
"SingStar Pop Vol. 2 (USA)","USA","Nelly Furtado","Promiscuous"
"SingStar Pop Vol. 2 (USA)","USA","Norah Jones","Don't Know Why"
"SingStar Pop Vol. 2 (USA)","USA","P!nk","Who Knew"
"SingStar Pop Vol. 2 (USA)","USA","Peter Bjorn and John","Young Folks"
"SingStar Pop Vol. 2 (USA)","USA","Plain White T's","Hey There Delilah"
"SingStar Pop Vol. 2 (USA)","USA","Rihanna","Umbrella"
"SingStar Pop Vol. 2 (USA)","USA","Santana ft. Chad Kroeger","Into The Night"
"SingStar Pop Vol. 2 (USA)","USA","Steriogram","Walkie Talkie Man"
"SingStar Pop Vol. 2 (USA)","USA","Sum 41","Fat Lip"
"SingStar Pop Vol. 2 (USA)","USA","The Hives","Tick Tick Boom"
"SingStar Popworld (UK)","UK","Annie","Heartbeat"
"SingStar Popworld (UK)","UK","Ashlee Simpson","Pieces of Me"
"SingStar Popworld (UK)","UK","Avril Lavigne","Sk8er Boi"
"SingStar Popworld (UK)","UK","Beyoncé","Crazy in Love"
"SingStar Popworld (UK)","UK","Black Eyed Peas","Shut Up"
"SingStar Popworld (UK)","UK","Blink-182","What's My Age Again?"
"SingStar Popworld (UK)","UK","Dandy Warhols","Bohemian Like You"
"SingStar Popworld (UK)","UK","Eric B. and Rakim","Paid in Full"
"SingStar Popworld (UK)","UK","Fountains of Wayne","Stacy's Mom"
"SingStar Popworld (UK)","UK","Girls Aloud","Love Machine"
"SingStar Popworld (UK)","UK","Good Charlotte","I Wanna Live"
"SingStar Popworld (UK)","UK","The Hives","Main Offender"
"SingStar Popworld (UK)","UK","Hoobastank","The Reason"
"SingStar Popworld (UK)","UK","Jamelia","Stop"
"SingStar Popworld (UK)","UK","Jay Sean","Eyes on You"
"SingStar Popworld (UK)","UK","Joss Stone","Super Duper Love (Are You Diggin On Me?)"
"SingStar Popworld (UK)","UK","Keane","Somewhere Only We Know"
"SingStar Popworld (UK)","UK","Kylie Minogue","In Your Eyes"
"SingStar Popworld (UK)","UK","Manfred Mann","Do Wah Diddy"
"SingStar Popworld (UK)","UK","Marilyn Manson","Personal Jesus"
"SingStar Popworld (UK)","UK","McFly","Obviously"
"SingStar Popworld (UK)","UK","Natasha Bedingfield","These Words"
"SingStar Popworld (UK)","UK","OutKast","Roses"
"SingStar Popworld (UK)","UK","Robbie Williams","Let Me Entertain You"
"SingStar Popworld (UK)","UK","Robbie Williams & Kylie Minogue","Kids"
"SingStar Popworld (UK)","UK","Ronan Keating & Yusuf Islam","Father and Son"
"SingStar Popworld (UK)","UK","Sister Sledge","We Are Family"
"SingStar Popworld (UK)","UK","Steppenwolf","Born To Be Wild"
"SingStar Popworld (UK)","UK","The Clash","Should I Stay or Should I Go"
"SingStar Popworld (UK)","UK","Tom Jones","It's Not Unusual"
"SingStar Queen (Europe, Australia)","Europe/Australia","Queen","A Kind Of Magic"
"SingStar Queen (Europe, Australia)","Europe/Australia","Queen","Another One Bites The Dust"
"SingStar Queen (Europe, Australia)","Europe/Australia","Queen","Bicycle Race"
"SingStar Queen (Europe, Australia)","Europe/Australia","Queen","Bohemian Rhapsody"
"SingStar Queen (Europe, Australia)","Europe/Australia","Queen","Breakthru"
"SingStar Queen (Europe, Australia)","Europe/Australia","Queen","Crazy Little Thing Called Love"
"SingStar Queen (Europe, Australia)","Europe/Australia","Queen","Don't Stop Me Now"
"SingStar Queen (Europe, Australia)","Europe/Australia","Queen","Fat Bottomed Girls"
"SingStar Queen (Europe, Australia)","Europe/Australia","Queen","Hammer To Fall"
"SingStar Queen (Europe, Australia)","Europe/Australia","Queen","I Want It All"
"SingStar Queen (Europe, Australia)","Europe/Australia","Queen","I Want To Break Free"
"SingStar Queen (Europe, Australia)","Europe/Australia","Queen","Innuendo"
"SingStar Queen (Europe, Australia)","Europe/Australia","Queen","Killer Queen"
"SingStar Queen (Europe, Australia)","Europe/Australia","Queen","One Vision"
"SingStar Queen (Europe, Australia)","Europe/Australia","Queen","Play The Game"
"SingStar Queen (Europe, Australia)","Europe/Australia","Queen","Radio Ga Ga"
"SingStar Queen (Europe, Australia)","Europe/Australia","Queen","Somebody To Love"
"SingStar Queen (Europe, Australia)","Europe/Australia","Queen","These Are The Days Of Our Lives"
"SingStar Queen (Europe, Australia)","Europe/Australia","Queen","Tie Your Mother Down"
"SingStar Queen (Europe, Australia)","Europe/Australia","Queen & David Bowie","Under Pressure"
"SingStar Queen (Europe, Australia)","Europe/Australia","Queen","We Are The Champions"
"SingStar Queen (Europe, Australia)","Europe/Australia","Queen","We Will Rock You"
"SingStar Queen (Europe, Australia)","Europe/Australia","Queen","Who Wants To Live Forever"
"SingStar Queen (Europe, Australia)","Europe/Australia","Queen","You're My Best Friend"
"SingStar R&B (Europe, Australia)","Europe/Australia","Amerie","1 Thing"
"SingStar R&B (Europe, Australia)","Europe/Australia","Amy Winehouse","Back To Black"
"SingStar R&B (Europe, Australia)","Europe/Australia","Anastacia","I'm Outta Love"
"SingStar R&B (Europe, Australia)","Europe/Australia","Beverley Knight","Come As You Are"
"SingStar R&B (Europe, Australia)","Europe/Australia","Black Eyed Peas","Pump It"
"SingStar R&B (Europe, Australia)","Europe/Australia","Chris Brown","Yo! (Excuse Me Miss)"
"SingStar R&B (Europe, Australia)","Europe/Australia","Christina Milian","AM to PM"
"SingStar R&B (Europe, Australia)","Europe/Australia","Corinne Bailey Rae","I'd Like To"
"SingStar R&B (Europe, Australia)","Europe/Australia","Destiny's Child","Bootylicious"
"SingStar R&B (Europe, Australia)","Europe/Australia","Diana Ross & The Supremes","Baby Love"
"SingStar R&B (Europe, Australia)","Europe/Australia","DJ Jazzy Jeff & The Fresh Prince","Summertime"
"SingStar R&B (Europe, Australia)","Europe/Australia","Edwin Starr","War"
"SingStar R&B (Europe, Australia)","Europe/Australia","En Vogue","My Lovin'"
"SingStar R&B (Europe, Australia)","Europe/Australia","Gwen Stefani","Hollaback Girl"
"SingStar R&B (Europe, Australia)","Europe/Australia","Inner City","Good Life"
"SingStar R&B (Europe, Australia)","Europe/Australia","Jamelia","Thank You"
"SingStar R&B (Europe, Australia)","Europe/Australia","Jamiroquai","Alright"
"SingStar R&B (Europe, Australia)","Europe/Australia","Luther Vandross","Never Too Much"
"SingStar R&B (Europe, Australia)","Europe/Australia","Mark Ronson ft. Daniel Merriweather","Stop Me"
"SingStar R&B (Europe, Australia)","Europe/Australia","Martha Reeves & The Vandellas","Dancing in the Street"
"SingStar R&B (Europe, Australia)","Europe/Australia","Marvin Gaye ft. Tammi Terrell","Ain't No Mountain High Enough"
"SingStar R&B (Europe, Australia)","Europe/Australia","OutKast","Idlewild Blue (Don'tchu Worry 'Bout Me)"
"SingStar R&B (Europe, Australia)","Europe/Australia","Pussycat Dolls","Buttons"
"SingStar R&B (Europe, Australia)","Europe/Australia","Rihanna","We Ride"
"SingStar R&B (Europe, Australia)","Europe/Australia","Salt-N-Pepa","Push It"
"SingStar R&B (Europe, Australia)","Europe/Australia","Sugababes","Ugly"
"SingStar R&B (Europe, Australia)","Europe/Australia","The 411","Dumb"
"SingStar R&B (Europe, Australia)","Europe/Australia","The Four Tops","I Can't Help Myself"
"SingStar R&B (Europe, Australia)","Europe/Australia","Whitney Houston","My Love Is Your Love"
"SingStar R&B (Europe, Australia)","Europe/Australia","Womack & Womack","Teardrops"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Air Supply","All Out of Love"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Alannah Myles","Black Velvet"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Anastacia","Left Outside Alone"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Avril Lavigne","I'm With You"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Boston","More Than A Feeling"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Boy Meets Girl","Waiting For A Star To Fall"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Cutting Crew","(I Just) Died In Your Arms"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Cyndi Lauper","Time After Time"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Duran Duran","Ordinary World"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Europe","Carrie"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Heart","Alone"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Jon Secada","Just Another Day (Without You)"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Lone Star","Amazed"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Marc Cohn","Walking In Memphis"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Meat Loaf","I'd Do Anything For Love (But I Won't Do That)"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Mr. Big","To Be With You"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Mr. Mister","Broken Wings"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Mr. Mister","Kyrie"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Nickelback","How You Remind Me"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Nilsson","Without You"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Poison","Every Rose Has Its Thorn"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Queen","The Show Must Go On"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Roxette","It Must Have Been Love"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Roxette","Listen To Your Heart"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Starship","Nothing's Gonna Stop Us Now"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Sugababes","Too Lost In You"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","The Calling","Wherever You Will Go"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Tina Arena","Chains"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","Toto","Africa"
"SingStar Rock Ballads (Europe, Australia)","Europe/Australia","T'Pau","China In Your Hand"
"SingStar Rocks! (Europe)","Europe","Bloc Party","Banquet"
"SingStar Rocks! (Europe)","Europe","Blur","Song 2"
"SingStar Rocks! (Europe)","Europe","Bowling for Soup","1985"
"SingStar Rocks! (Europe)","Europe","Coldplay","Speed of Sound"
"SingStar Rocks! (Europe)","Europe","Deep Purple","Smoke on the Water"
"SingStar Rocks! (Europe)","Europe","Franz Ferdinand","Do You Want To"
"SingStar Rocks! (Europe)","Europe","Gwen Stefani","What You Waiting For"
"SingStar Rocks! (Europe)","Europe","Hard-Fi","Hard to Beat"
"SingStar Rocks! (Europe)","Europe","Hole","Celebrity Skin"
"SingStar Rocks! (Europe)","Europe","Jet","Are You Gonna Be My Girl?"
"SingStar Rocks! (Europe)","Europe","Kasabian","Club Foot"
"SingStar Rocks! (Europe)","Europe","Keane","Everybody's Changing"
"SingStar Rocks! (Europe)","Europe","Kings of Leon","The Bucket"
"SingStar Rocks! (Europe)","Europe","KT Tunstall","Black Horse & The Cherry Tree"
"SingStar Rocks! (Europe)","Europe","Maximo Park","Apply Some Pressure"
"SingStar Rocks! (Europe)","Europe","Nirvana","Come As You Are"
"SingStar Rocks! (Europe)","Europe","Queen","Don't Stop Me Now"
"SingStar Rocks! (Europe)","Europe","Queens of the Stone Age","Go with the Flow"
"SingStar Rocks! (Europe)","Europe","Razorlight","Somewhere Else"
"SingStar Rocks! (Europe)","Europe","Scorpions","Wind of Change"
"SingStar Rocks! (Europe)","Europe","Snow Patrol","Run"
"SingStar Rocks! (Europe)","Europe","Stereophonics","Dakota"
"SingStar Rocks! (Europe)","Europe","The Cardigans","My Favorite Game"
"SingStar Rocks! (Europe)","Europe","The Hives","Hate To Say I Told You So"
"SingStar Rocks! (Europe)","Europe","The Killers","Somebody Told Me"
"SingStar Rocks! (Europe)","Europe","The Offspring","Self Esteem"
"SingStar Rocks! (Europe)","Europe","The Rolling Stones","Paint It Black"
"SingStar Rocks! (Europe)","Europe","The White Stripes","Blue Orchid"
"SingStar Rocks! (Europe)","Europe","Thin Lizzy","The Boys Are Back in Town"
"SingStar Singalong with Disney (Europe, Australia)","Europe/Australia","101 Dalmatians","Cruella De Vil"
"SingStar Singalong with Disney (Europe, Australia)","Europe/Australia","Aladdin","A Whole New World"
"SingStar Singalong with Disney (Europe, Australia)","Europe/Australia","The Aristocats","Ev'rybody Wants To Be A Cat"
"SingStar Singalong with Disney (Europe, Australia)","Europe/Australia","Beauty and the Beast","Beauty And The Beast"
"SingStar Singalong with Disney (Europe, Australia)","Europe/Australia","Cinderella","Bibbidi-Bobbidi-Boo"
"SingStar Singalong with Disney (Europe, Australia)","Europe/Australia","Cinderella","The Work Song"
"SingStar Singalong with Disney (Europe, Australia)","Europe/Australia","The Jungle Book","Bare Necessities"
"SingStar Singalong with Disney (Europe, Australia)","Europe/Australia","The Jungle Book","I Wan'na Be Like You"
"SingStar Singalong with Disney (Europe, Australia)","Europe/Australia","Lady and the Tramp","He's A Tramp"
"SingStar Singalong with Disney (Europe, Australia)","Europe/Australia","The Lion King","The Circle Of Life"
"SingStar Singalong with Disney (Europe, Australia)","Europe/Australia","The Lion King","I Just Can't Wait To Be King"
"SingStar Singalong with Disney (Europe, Australia)","Europe/Australia","The Little Mermaid","Kiss The Girl"
"SingStar Singalong with Disney (Europe, Australia)","Europe/Australia","The Little Mermaid","Under The Sea"
"SingStar Singalong with Disney (Europe, Australia)","Europe/Australia","Peter Pan","Following The Leader"
"SingStar Singalong with Disney (Europe, Australia)","Europe/Australia","Peter Pan","You Can Fly! You Can Fly! You Can Fly!"
"SingStar Singalong with Disney (Europe, Australia)","Europe/Australia","Sleeping Beauty","I Wonder"
"SingStar Singalong with Disney (Europe, Australia)","Europe/Australia","Sleeping Beauty","Once Upon A Dream"
"SingStar Singalong with Disney (Europe, Australia)","Europe/Australia","Tarzan","Son Of Man"
"SingStar Singalong with Disney (Europe, Australia)","Europe/Australia","Toy Story","You've Got A Friend In Me"
"SingStar Singalong with Disney (Europe, Australia)","Europe/Australia","Winnie the Pooh","Winnie The Pooh"